NAME,WEEKS
Daniel Jones,"[(2, 'WAS', 0.0), (3, 'CLE', 0.0), (5, 'SEA', 0.0), (6, 'CIN', 0.0), (9, 'WAS', 0.0), (10, 'CAR', 0.0)]"
Daniel Carlson,"[(2, 'BAL', 0.0), (7, 'LAR', 0.0), (12, 'DEN', 0.0)]"
Darnell Mooney,"[(2, 'PHI', 0.0), (3, 'KC', 0.0), (5, 'TB', 0.0), (8, 'TB', 0.0), (9, 'DAL', 0.0), (10, 'NO', 0.0)]"
Kirk Cousins,"[(2, 'PHI', 0.0), (3, 'KC', 0.0), (5, 'TB', 0.0), (6, 'CAR', 0.0), (8, 'TB', 0.0), (9, 'DAL', 0.0), (10, 'NO', 0.0)]"
Drake London,"[(2, 'PHI', 0.0), (3, 'KC', 0.0), (4, 'NO', 0.0), (5, 'TB', 0.0), (6, 'CAR', 0.0), (7, 'SEA', 0.0), (10, 'NO', 0.0), (13, 'LAC', 0.0)]"
Joe Burrow,"[(2, 'KC', 0.0), (3, 'WAS', 0.0), (4, 'CAR', 0.0), (5, 'BAL', 0.0), (6, 'NYG', 0.0), (7, 'CLE', 0.0), (9, 'LV', 0.0), (10, 'BAL', 0.0), (11, 'LAC', 0.0), (13, 'PIT', 0.0)]"
Derrick Henry,"[(2, 'LV', 0.0), (3, 'DAL', 0.0), (4, 'BUF', 0.0), (5, 'CIN', 0.0), (6, 'WAS', 0.0), (7, 'TB', 0.0), (8, 'CLE', 0.0), (9, 'DEN', 0.0), (10, 'CIN', 0.0), (12, 'LAC', 0.0), (13, 'PHI', 0.0)]"
Mike Gesicki,"[(2, 'KC', 0.0), (9, 'LV', 0.0)]"
Deshaun Watson,"[(2, 'JAX', 0.0), (3, 'NYG', 0.0), (4, 'LV', 0.0)]"
Aaron Rodgers,"[(2, 'TEN', 0.0), (3, 'NE', 0.0), (4, 'DEN', 0.0), (6, 'BUF', 0.0), (7, 'PIT', 0.0), (8, 'NE', 0.0), (9, 'HOU', 0.0), (11, 'IND', 0.0), (13, 'SEA', 0.0)]"
Evan McPherson,"[(2, 'KC', 0.0), (4, 'CAR', 0.0)]"
Andrei Iosivas,"[(2, 'KC', 0.0), (3, 'WAS', 0.0), (13, 'PIT', 0.0)]"
Devin Singletary,"[(2, 'WAS', 0.0), (3, 'CLE', 0.0)]"
Jalen Nailor,"[(2, 'SF', 0.0), (3, 'HOU', 0.0), (7, 'DET', 0.0)]"
Jalen Tolbert,"[(2, 'NO', 0.0), (3, 'BAL', 0.0), (5, 'PIT', 0.0)]"
Brock Purdy,"[(2, 'MIN', 0.0), (3, 'LAR', 0.0), (4, 'NE', 0.0), (5, 'ARI', 0.0), (6, 'SEA', 0.0), (7, 'KC', 0.0), (8, 'DAL', 0.0), (10, 'TB', 0.0), (11, 'SEA', 0.0)]"
Josh Reynolds,"[(2, 'PIT', 0.0)]"
Matt Prater,"[(2, 'LAR', 0.0)]"
Malik Willis,"[(2, 'IND', 0.0), (3, 'TEN', 0.0)]"
Gardner Minshew II,"[(2, 'BAL', 0.0), (3, 'CAR', 0.0), (8, 'KC', 0.0), (11, 'MIA', 0.0), (12, 'DEN', 0.0)]"
Chris Olave,"[(2, 'DAL', 0.0), (3, 'PHI', 0.0), (4, 'ATL', 0.0), (8, 'LAC', 0.0)]"
Dustin Hopkins,"[(2, 'JAX', 0.0)]"
Dontayvion Wicks,"[(2, 'IND', 0.0), (4, 'MIN', 0.0), (7, 'HOU', 0.0)]"
Chuba Hubbard,"[(2, 'LAC', 0.0), (3, 'LV', 0.0), (4, 'CIN', 0.0), (5, 'CHI', 0.0), (6, 'ATL', 0.0), (7, 'WAS', 0.0), (9, 'NO', 0.0), (10, 'NYG', 0.0), (12, 'KC', 0.0)]"
Javonte Williams,"[(2, 'PIT', 0.0), (5, 'LV', 0.0), (7, 'NO', 0.0), (11, 'ATL', 0.0)]"
Austin Ekeler,"[(2, 'NYG', 0.0), (3, 'CIN', 0.0), (9, 'NYG', 0.0), (10, 'PIT', 0.0), (11, 'PHI', 0.0)]"
Will Levis,"[(2, 'NYJ', 0.0), (3, 'GB', 0.0), (10, 'LAC', 0.0), (11, 'MIN', 0.0), (12, 'HOU', 0.0), (13, 'WAS', 0.0)]"
DJ Moore,"[(2, 'HOU', 0.0), (3, 'IND', 0.0), (5, 'CAR', 0.0), (11, 'GB', 0.0), (12, 'MIN', 0.0), (13, 'DET', 0.0)]"
Jonnu Smith,"[(2, 'BUF', 0.0), (7, 'IND', 0.0), (11, 'LV', 0.0), (12, 'NE', 0.0), (13, 'GB', 0.0)]"
Antonio Gibson,"[(2, 'SEA', 0.0)]"
Justin Tucker,"[(2, 'LV', 0.0), (5, 'CIN', 0.0), (6, 'WAS', 0.0), (7, 'TB', 0.0)]"
Jason Myers,"[(2, 'NE', 0.0), (7, 'ATL', 0.0), (11, 'SF', 0.0)]"
Justin Herbert,"[(2, 'CAR', 0.0), (6, 'DEN', 0.0), (7, 'ARI', 0.0), (8, 'NO', 0.0), (9, 'CLE', 0.0), (10, 'TEN', 0.0), (11, 'CIN', 0.0), (12, 'BAL', 0.0)]"
Will Reichard,"[(2, 'SF', 0.0), (3, 'HOU', 0.0), (5, 'NYJ', 0.0), (7, 'DET', 0.0)]"
Jacoby Brissett,"[(2, 'SEA', 0.0)]"
Elijah Moore,"[(2, 'JAX', 0.0), (7, 'CIN', 0.0), (8, 'BAL', 0.0), (11, 'NO', 0.0), (13, 'DEN', 0.0)]"
Amari Cooper,"[(3, 'NYG', 0.0), (7, 'TEN', 0.0)]"
Dallas Goedert,"[(3, 'NO', 0.0), (4, 'TB', 0.0), (10, 'DAL', 0.0), (11, 'WAS', 0.0), (13, 'BAL', 0.0)]"
